"Name","API Name","Instance Memory","vCPUs","Physical Processor","Clock Speed(GHz)","Instance Storage","Arch","Network Performance","On Demand","Linux Reserved cost","Linux Spot Minimum cost"
"M6A 32xlarge","m6a.32xlarge","512.0 GiB","128 vCPUs","AMD EPYC 7R13 Processor","3.6 GHz","EBS only","64-bit","50 Gigabit","$5.5296 hourly","$3.6578 hourly","$1.7323 hourly"
"M7A 24xlarge","m7a.24xlarge","384.0 GiB","96 vCPUs","AMD EPYC 9R14 Processor","3.7 GHz","EBS only","64-bit","37.5 Gigabit","$5.5642 hourly","$3.6807 hourly","$1.1542 hourly"
"R6IN 16xlarge","r6in.16xlarge","512.0 GiB","64 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","64-bit","100 Gigabit","$5.5786 hourly","$3.5145 hourly","$2.3555 hourly"
"R8G Metal-24xl","r8g.metal-24xl","768.0 GiB","96 vCPUs","AWS Graviton4 Processor","2.7 GHz","EBS only","64-bit","40 Gigabit","$5.6554 hourly","$3.7410 hourly","$0.7368 hourly"
"R8G 24xlarge","r8g.24xlarge","768.0 GiB","96 vCPUs","AWS Graviton4 Processor","2.7 GHz","EBS only","64-bit","40 Gigabit","$5.6554 hourly","$3.7410 hourly","$1.2279 hourly"
"G5 Graphics and Machine Learning GPU 12xlarge","g5.12xlarge","192.0 GiB","48 vCPUs","AMD EPYC 7R32","2.8 GHz","3800 GB                 NVMe SSD","64-bit","40 Gigabit","$5.6720 hourly","$3.5734 hourly","$2.3632 hourly"
"M6ID 24xlarge","m6id.24xlarge","384.0 GiB","96 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","5700 GB                 (4 * 1425 GB NVMe SSD)","64-bit","37.5 Gigabit","$5.6952 hourly","$3.5880 hourly","$1.5755 hourly"
"M5N 24xlarge","m5n.24xlarge","384.0 GiB","96 vCPUs","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","EBS only","64-bit","100 Gigabit","$5.7120 hourly","$3.5990 hourly","$1.8538 hourly"
"M5N Metal","m5n.metal","384.0 GiB","96 vCPUs","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","EBS only","64-bit","100 Gigabit","$5.7120 hourly","$3.5990 hourly","$1.2612 hourly"
"IM4GN 16xlarge","im4gn.16xlarge","256.0 GiB","64 vCPUs","AWS Graviton2 Processor","2.5 GHz","30000 GB                 (4 * 7500 GB NVMe SSD)","64-bit","100 Gigabit","$5.8207 hourly","$3.7330 hourly","$1.1954 hourly"
"R7IZ 16xlarge","r7iz.16xlarge","512.0 GiB","64 vCPUs","Intel Xeon Scalable (Sapphire Rapids)","3.9 GHz","EBS only","64-bit","25 Gigabit","$5.9520 hourly","$3.7498 hourly","$1.7172 hourly"
"R7IZ Metal-16xl","r7iz.metal-16xl","512.0 GiB","64 vCPUs","Intel Xeon Scalable (Sapphire Rapids)","3.9 GHz","EBS only","64-bit","25 Gigabit","$5.9520 hourly","$3.7498 hourly","$1.3987 hourly"
"R5 Metal","r5.metal","768.0 GiB","96 vCPUs","Intel Xeon Platinum 8175","3.1 GHz","EBS only","64-bit","25 Gigabit","$6.0480 hourly","$3.8100 hourly","$1.5715 hourly"
"R5 24xlarge","r5.24xlarge","768.0 GiB","96 vCPUs","Intel Xeon Platinum 8175","3.1 GHz","EBS only","64-bit","25 Gigabit","$6.0480 hourly","$3.8100 hourly","$1.7046 hourly"
"R6I 24xlarge","r6i.24xlarge","768.0 GiB","96 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","64-bit","37.5 Gigabit","$6.0480 hourly","$4.0008 hourly","$1.6431 hourly"
"M6I 32xlarge","m6i.32xlarge","512.0 GiB","128 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","64-bit","50 Gigabit","$6.1440 hourly","$4.0643 hourly","$1.8192 hourly"
"M6I Metal","m6i.metal","512.0 GiB","128 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","64-bit","50 Gigabit","$6.1440 hourly","$4.0643 hourly","$1.5682 hourly"
"R6IDN 16xlarge","r6idn.16xlarge","512.0 GiB","64 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","3800 GB                 (2 * 1900 GB NVMe SSD)","64-bit","100 Gigabit","$6.2525 hourly","$3.9391 hourly","$2.6113 hourly"
"R5AD 24xlarge","r5ad.24xlarge","768.0 GiB","96 vCPUs","AMD EPYC 7571","2.5 GHz","3600 GB                 (4 * 900 GB NVMe SSD)","64-bit","20 Gigabit","$6.2880 hourly","$3.9610 hourly","$1.9571 hourly"
"D3EN 12xlarge","d3en.12xlarge","192.0 GiB","48 vCPUs","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","335520 GB                 (24 * 13980 GB NVMe HDD)","64-bit","75 Gigabit","$6.3086 hourly","$3.9744 hourly","$1.3723 hourly"
"R7I Metal-24xl","r7i.metal-24xl","768.0 GiB","96 vCPUs","Intel Xeon Scalable (Sapphire Rapids)","3.2 GHz","EBS only","64-bit","37.5 Gigabit","$6.3504 hourly","$4.2008 hourly","$1.4258 hourly"
"R7I 24xlarge","r7i.24xlarge","768.0 GiB","96 vCPUs","Intel Xeon Scalable (Sapphire Rapids)","3.2 GHz","EBS only","64-bit","37.5 Gigabit","$6.3504 hourly","$4.2008 hourly","$1.7770 hourly"
"C6ID 32xlarge","c6id.32xlarge","256.0 GiB","128 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","7600 GB                 (4 * 1900 GB NVMe SSD)","64-bit","50 Gigabit","$6.4512 hourly","$4.0656 hourly","$1.4697 hourly"
"C6ID Metal","c6id.metal","256.0 GiB","128 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","7600 GB                 (4 * 1900 GB NVMe SSD)","64-bit","50 Gigabit","$6.4512 hourly","$4.0656 hourly","$1.5259 hourly"
"INF2 24xlarge","inf2.24xlarge","384.0 GiB","96 vCPUs","AMD EPYC 7R13 Processor","2.95 GHz","EBS only","64-bit","50 Gigabit","$6.4906 hourly","$4.0891 hourly","$1.4575 hourly"
"M5DN 24xlarge","m5dn.24xlarge","384.0 GiB","96 vCPUs","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","3600 GB                 (4 * 900 GB NVMe SSD)","64-bit","100 Gigabit","$6.5280 hourly","$4.1130 hourly","$2.0325 hourly"
"M5DN Metal","m5dn.metal","384.0 GiB","96 vCPUs","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","3600 GB                 (4 * 900 GB NVMe SSD)","64-bit","100 Gigabit","$6.5280 hourly","$4.1130 hourly","$1.3249 hourly"
"C7A 32xlarge","c7a.32xlarge","256.0 GiB","128 vCPUs","AMD EPYC 9R14 Processor","3.7 GHz","EBS only","64-bit","50 Gigabit","$6.5690 hourly","$4.3454 hourly","$1.6937 hourly"
"X2IDN 16xlarge","x2idn.16xlarge","1024.0 GiB","64 vCPUs","Intel Xeon Scalable (Icelake)","3.5 GHz","1900 GB                 NVMe SSD","64-bit","50 Gigabit","$6.6690 hourly","$4.1034 hourly","$2.1986 hourly"
"X1 Extra High-Memory 16xlarge","x1.16xlarge","976.0 GiB","64 vCPUs","High Frequency Intel Xeon E7-8880 v3 (Haswell)","2.3 GHz","1920 GB                 SSD","64-bit","10 Gigabit","$6.6690 hourly","$4.1100 hourly","$1.9507 hourly"
"X2IEDN Eight Extra Large","x2iedn.8xlarge","1024.0 GiB","32 vCPUs","Intel Xeon Scalable (Icelake)","3.5 GHz","950 GB                 NVMe SSD","64-bit","25 Gigabit","$6.6690 hourly","$4.1034 hourly","$1.6237 hourly"
"X1E Eight Extra Large","x1e.8xlarge","976.0 GiB","32 vCPUs","High Frequency Intel Xeon E7-8880 v3 (Haswell)","2.3 GHz","960 GB                 SSD","64-bit","Up to 10 Gigabit","$6.6720 hourly","$4.1120 hourly","$1.7128 hourly"
"X2IEZN Eight Extra Large","x2iezn.8xlarge","1024.0 GiB","32 vCPUs","Intel Xeon Platinum 8252","4.5 GHz","EBS only","64-bit","75 Gigabit","$6.6720 hourly","$4.1076 hourly","$1.9500 hourly"
"G6 Graphics and Machine Learning GPU 24xlarge","g6.24xlarge","384.0 GiB","96 vCPUs","AMD EPYC 7R13 Processor","2.6 GHz","3760 GB                 (4 * 940 GB NVMe SSD)","64-bit","50 Gigabit","$6.6752 hourly","$4.3456 hourly","$1.9226 hourly"
"M6IN 24xlarge","m6in.24xlarge","384.0 GiB","96 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","64-bit","150 Gigabit","$6.6830 hourly","$4.2103 hourly","$2.7367 hourly"
"I2 Eight Extra Large","i2.8xlarge","244.0 GiB","32 vCPUs","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","6400 GB                 (8 * 800 GB SSD)","64-bit","10 Gigabit","$6.8200 hourly","$3.3920 hourly","$1.9556 hourly"
"R5D 24xlarge","r5d.24xlarge","768.0 GiB","96 vCPUs","Intel Xeon Platinum 8175","3.1 GHz","3600 GB                 (4 * 900 GB NVMe SSD)","64-bit","25 Gigabit","$6.9120 hourly","$4.3550 hourly","$1.9046 hourly"
"R5D Metal","r5d.metal","768.0 GiB","96 vCPUs","Intel Xeon Platinum 8175","3.1 GHz","3600 GB                 (4 * 900 GB NVMe SSD)","64-bit","25 Gigabit","$6.9120 hourly","$4.3550 hourly","$2.2025 hourly"
"R5N Metal","r5n.metal","768.0 GiB","96 vCPUs","Intel Xeon Platinum 8259 (Cascade Lake)","2.5 GHz","EBS only","64-bit","100 Gigabit","$7.1520 hourly","$4.5060 hourly","$1.8648 hourly"
"R5B Metal","r5b.metal","768.0 GiB","96 vCPUs","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","EBS only","64-bit","25 Gigabit","$7.1520 hourly","$4.5058 hourly","$2.9400 hourly"
"R5N 24xlarge","r5n.24xlarge","768.0 GiB","96 vCPUs","Intel Xeon Platinum 8259 (Cascade Lake)","2.5 GHz","EBS only","64-bit","100 Gigabit","$7.1520 hourly","$4.5060 hourly","$2.9672 hourly"
"R5B 24xlarge","r5b.24xlarge","768.0 GiB","96 vCPUs","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","EBS only","64-bit","25 Gigabit","$7.1520 hourly","$4.5058 hourly","$3.8640 hourly"
"P2 General Purpose GPU Eight Extra Large","p2.8xlarge","488.0 GiB","32 vCPUs","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","EBS only","64-bit","10 Gigabit","$7.2000 hourly","$4.9140 hourly","$1.7441 hourly"
"C6IN Metal","c6in.metal","256.0 GiB","128 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","64-bit","200 Gigabit","$7.2576 hourly","$4.5723 hourly","$1.6138 hourly"
"R6ID 24xlarge","r6id.24xlarge","768.0 GiB","96 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","5700 GB                 (4 * 1425 GB NVMe SSD)","64-bit","37.5 Gigabit","$7.2576 hourly","$4.5612 hourly","$1.6524 hourly"
"R6A 32xlarge","r6a.32xlarge","1024.0 GiB","128 vCPUs","AMD EPYC 7R13 Processor","3.6 GHz","EBS only","64-bit","50 Gigabit","$7.2576 hourly","$4.8009 hourly","$1.9351 hourly"
"C6IN 32xlarge","c6in.32xlarge","256.0 GiB","128 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","64-bit","200 Gigabit","$7.2576 hourly","$4.5723 hourly","$1.9306 hourly"
"R7A 24xlarge","r7a.24xlarge","768.0 GiB","96 vCPUs","AMD EPYC 9R14 Processor","3.7 GHz","EBS only","64-bit","37.5 Gigabit","$7.3032 hourly","$4.8311 hourly","$1.6797 hourly"
"C6A 48xlarge","c6a.48xlarge","384.0 GiB","192 vCPUs","AMD EPYC 7R13 Processor","3.6 GHz","EBS only","64-bit","50 Gigabit","$7.3440 hourly","$4.8581 hourly","$2.0517 hourly"
"C6A Metal","c6a.metal","384.0 GiB","192 vCPUs","AMD EPYC 7R13 Processor","3.6 GHz","EBS only","64-bit","50 Gigabit","$7.3440 hourly","$4.8581 hourly","$1.9711 hourly"
"M7A 32xlarge","m7a.32xlarge","512.0 GiB","128 vCPUs","AMD EPYC 9R14 Processor","3.7 GHz","EBS only","64-bit","50 Gigabit","$7.4189 hourly","$4.9076 hourly","$2.0649 hourly"
"M6ID 32xlarge","m6id.32xlarge","512.0 GiB","128 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","7600 GB                 (4 * 1900 GB NVMe SSD)","64-bit","50 Gigabit","$7.5936 hourly","$4.7840 hourly","$2.2442 hourly"
"M6ID Metal","m6id.metal","512.0 GiB","128 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","7600 GB                 (4 * 1900 GB NVMe SSD)","64-bit","50 Gigabit","$7.5936 hourly","$4.7840 hourly","$2.4733 hourly"
"M6IDN 24xlarge","m6idn.24xlarge","384.0 GiB","96 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","5700 GB                 (4 * 1425 GB NVMe SSD)","64-bit","150 Gigabit","$7.6378 hourly","$4.8118 hourly","$2.6770 hourly"
"G4DN Metal","g4dn.metal","384.0 GiB","96 vCPUs","Intel Xeon Family","2.5 GHz","1800 GB                 (2 * 900 GB NVMe SSD)","64-bit","100 Gigabit","$7.8240 hourly","$4.9290 hourly","$3.8452 hourly"
"R5DN 24xlarge","r5dn.24xlarge","768.0 GiB","96 vCPUs","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","3600 GB                 (4 * 900 GB NVMe SSD)","64-bit","100 Gigabit","$8.0160 hourly","$5.0500 hourly","$2.7000 hourly"
"R5DN Metal","r5dn.metal","768.0 GiB","96 vCPUs","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","3600 GB                 (4 * 900 GB NVMe SSD)","64-bit","100 Gigabit","$8.0160 hourly","$5.0500 hourly","$2.1139 hourly"
"R6I Metal","r6i.metal","1024.0 GiB","128 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","64-bit","50 Gigabit","$8.0640 hourly","$5.3343 hourly","$2.3735 hourly"
"R6I 32xlarge","r6i.32xlarge","1024.0 GiB","128 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","64-bit","50 Gigabit","$8.0640 hourly","$5.3343 hourly","$2.1857 hourly"
"G5 Graphics and Machine Learning GPU 24xlarge","g5.24xlarge","384.0 GiB","96 vCPUs","AMD EPYC 7R32","2.8 GHz","3800 GB                 NVMe SSD","64-bit","50 Gigabit","$8.1440 hourly","$5.1307 hourly","$3.3087 hourly"
"I4I 24xlarge","i4i.24xlarge","768.0 GiB","96 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","22500 GB                 (6 * 3750 GB NVMe SSD)","64-bit","56.25 Gigabit","$8.2368 hourly","$5.3449 hourly","$1.7947 hourly"
"M6A 48xlarge","m6a.48xlarge","768.0 GiB","192 vCPUs","AMD EPYC 7R13 Processor","3.6 GHz","EBS only","64-bit","50 Gigabit","$8.2944 hourly","$5.4867 hourly","$2.3765 hourly"
"M6A Metal","m6a.metal","768.0 GiB","192 vCPUs","AMD EPYC 7R13 Processor","3.6 GHz","EBS only","64-bit","50 Gigabit","$8.2944 hourly","$5.4867 hourly","$2.1244 hourly"
"R6IN 24xlarge","r6in.24xlarge","768.0 GiB","96 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","64-bit","150 Gigabit","$8.3678 hourly","$5.2717 hourly","$2.6422 hourly"
"C7I 48xlarge","c7i.48xlarge","384.0 GiB","192 vCPUs","Intel Xeon Scalable (Sapphire Rapids)","3.2 GHz","EBS only","64-bit","50 Gigabit","$8.5680 hourly","$5.6677 hourly","$2.2158 hourly"
"C7I Metal-48xl","c7i.metal-48xl","384.0 GiB","192 vCPUs","Intel Xeon Scalable (Sapphire Rapids)","3.2 GHz","EBS only","64-bit","50 Gigabit","$8.5680 hourly","$5.6677 hourly","$1.9067 hourly"
"M6IN Metal","m6in.metal","512.0 GiB","128 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","64-bit","200 Gigabit","$8.9107 hourly","$5.6137 hourly","$2.2382 hourly"
"M6IN 32xlarge","m6in.32xlarge","512.0 GiB","128 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","64-bit","200 Gigabit","$8.9107 hourly","$5.6137 hourly","$3.1055 hourly"
"R6IDN 24xlarge","r6idn.24xlarge","768.0 GiB","96 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","5700 GB                 (4 * 1425 GB NVMe SSD)","64-bit","150 Gigabit","$9.3787 hourly","$5.9086 hourly","$2.8490 hourly"
"R6ID 32xlarge","r6id.32xlarge","1024.0 GiB","128 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","7600 GB                 (4 * 1900 GB NVMe SSD)","64-bit","50 Gigabit","$9.6768 hourly","$6.0816 hourly","$2.7251 hourly"
"R6ID Metal","r6id.metal","1024.0 GiB","128 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","7600 GB                 (4 * 1900 GB NVMe SSD)","64-bit","50 Gigabit","$9.6768 hourly","$6.0816 hourly","$2.3493 hourly"
"M7I Metal-48xl","m7i.metal-48xl","768.0 GiB","192 vCPUs","Intel Xeon Scalable (Sapphire Rapids)","3.2 GHz","EBS only","64-bit","50 Gigabit","$9.6768 hourly","$6.4012 hourly","$1.9596 hourly"
"M7I 48xlarge","m7i.48xlarge","768.0 GiB","192 vCPUs","Intel Xeon Scalable (Sapphire Rapids)","3.2 GHz","EBS only","64-bit","50 Gigabit","$9.6768 hourly","$6.4012 hourly","$3.0880 hourly"
"R7A 32xlarge","r7a.32xlarge","1024.0 GiB","128 vCPUs","AMD EPYC 9R14 Processor","3.7 GHz","EBS only","64-bit","50 Gigabit","$9.7376 hourly","$6.4414 hourly","$2.2150 hourly"
"C7A Metal-48xl","c7a.metal-48xl","384.0 GiB","192 vCPUs","AMD EPYC 9R14 Processor","3.7 GHz","EBS only","64-bit","50 Gigabit","$9.8534 hourly","$6.5180 hourly","$2.1345 hourly"
"C7A 48xlarge","c7a.48xlarge","384.0 GiB","192 vCPUs","AMD EPYC 9R14 Processor","3.7 GHz","EBS only","64-bit","50 Gigabit","$9.8534 hourly","$6.5180 hourly","$2.8666 hourly"
"X2IDN 24xlarge","x2idn.24xlarge","1536.0 GiB","96 vCPUs","Intel Xeon Scalable (Icelake)","3.5 GHz","2850 GB                 (2 * 1425 GB NVMe SSD)","64-bit","75 Gigabit","$10.0035 hourly","$6.1551 hourly","$2.1347 hourly"
"X2IEZN 12xlarge","x2iezn.12xlarge","1536.0 GiB","48 vCPUs","Intel Xeon Platinum 8252","4.5 GHz","EBS only","64-bit","100 Gigabit","$10.0080 hourly","$6.1614 hourly","$2.6914 hourly"
"X2IEZN Metal","x2iezn.metal","1536.0 GiB","48 vCPUs","Intel Xeon Platinum 8252","4.5 GHz","EBS only","64-bit","100 Gigabit","$10.0080 hourly","$6.1614 hourly","$2.3560 hourly"
"M6IDN Metal","m6idn.metal","512.0 GiB","128 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","7600 GB                 (4 * 1900 GB NVMe SSD)","64-bit","200 Gigabit","$10.1837 hourly","$6.4157 hourly","$2.6150 hourly"
"M6IDN 32xlarge","m6idn.32xlarge","512.0 GiB","128 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","7600 GB                 (4 * 1900 GB NVMe SSD)","64-bit","200 Gigabit","$10.1837 hourly","$6.4157 hourly","$3.2328 hourly"
"I3EN 24xlarge","i3en.24xlarge","768.0 GiB","96 vCPUs","Intel Xeon Platinum 8175","3.1 GHz","60000 GB                 (8 * 7500 GB NVMe SSD)","64-bit","100 Gigabit","$10.8480 hourly","$7.3880 hourly","$2.2433 hourly"
"I3EN Metal","i3en.metal","768.0 GiB","96 vCPUs","Intel Xeon Platinum 8175","3.1 GHz","60000 GB                 (8 * 7500 GB NVMe SSD)","64-bit","100 Gigabit","$10.8480 hourly","$7.3880 hourly","$2.4549 hourly"
"R6A 48xlarge","r6a.48xlarge","1536.0 GiB","192 vCPUs","AMD EPYC 7R13 Processor","3.6 GHz","EBS only","64-bit","50 Gigabit","$10.8864 hourly","$7.2013 hourly","$2.5779 hourly"
"R6A Metal","r6a.metal","1536.0 GiB","192 vCPUs","AMD EPYC 7R13 Processor","3.6 GHz","EBS only","64-bit","50 Gigabit","$10.8864 hourly","$7.2013 hourly","$2.4968 hourly"
"I4I Metal","i4i.metal","1024.0 GiB","128 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","30000 GB                 (8 * 3750 GB NVMe SSD)","64-bit","75 Gigabit","$10.9820 hourly","$7.1270 hourly","$2.3084 hourly"
"I4I 32xlarge","i4i.32xlarge","1024.0 GiB","128 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","30000 GB                 (8 * 3750 GB NVMe SSD)","64-bit","75 Gigabit","$10.9824 hourly","$7.1266 hourly","$2.3736 hourly"
"M7A 48xlarge","m7a.48xlarge","768.0 GiB","192 vCPUs","AMD EPYC 9R14 Processor","3.7 GHz","EBS only","64-bit","50 Gigabit","$11.1283 hourly","$7.3614 hourly","$3.1507 hourly"
"M7A Metal-48xl","m7a.metal-48xl","768.0 GiB","192 vCPUs","AMD EPYC 9R14 Processor","3.7 GHz","EBS only","64-bit","50 Gigabit","$11.1283 hourly","$7.3614 hourly","$2.5971 hourly"
"R6IN Metal","r6in.metal","1024.0 GiB","128 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","64-bit","200 Gigabit","$11.1571 hourly","$7.0290 hourly","$2.0228 hourly"
"R6IN 32xlarge","r6in.32xlarge","1024.0 GiB","128 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","64-bit","200 Gigabit","$11.1571 hourly","$7.0290 hourly","$3.9861 hourly"
"R8G Metal-48xl","r8g.metal-48xl","1536.0 GiB","192 vCPUs","AWS Graviton4 Processor","2.7 GHz","EBS only","64-bit","50 Gigabit","$11.3107 hourly","$7.4820 hourly","$1.2530 hourly"
"R8G 48xlarge","r8g.48xlarge","1536.0 GiB","192 vCPUs","AWS Graviton4 Processor","2.7 GHz","EBS only","64-bit","50 Gigabit","$11.3107 hourly","$7.4820 hourly","$2.6053 hourly"
"R7IZ 32xlarge","r7iz.32xlarge","1024.0 GiB","128 vCPUs","Intel Xeon Scalable (Sapphire Rapids)","3.9 GHz","EBS only","64-bit","50 Gigabit","$11.9040 hourly","$7.4995 hourly","$3.3097 hourly"
"R7IZ Metal-32xl","r7iz.metal-32xl","1024.0 GiB","128 vCPUs","Intel Xeon Scalable (Sapphire Rapids)","3.9 GHz","EBS only","64-bit","50 Gigabit","$11.9040 hourly","$7.4995 hourly","$2.4911 hourly"
"P3 High Performance GPU Eight Extra Large","p3.8xlarge","244.0 GiB","32 vCPUs","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","EBS only","64-bit","10 Gigabit","$12.2400 hourly","$8.3540 hourly","$5.7191 hourly"
"R6IDN Metal","r6idn.metal","1024.0 GiB","128 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","7600 GB                 (4 * 1900 GB NVMe SSD)","64-bit","200 Gigabit","$12.5050 hourly","$7.8781 hourly","$2.6015 hourly"
"R6IDN 32xlarge","r6idn.32xlarge","1024.0 GiB","128 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","7600 GB                 (4 * 1900 GB NVMe SSD)","64-bit","200 Gigabit","$12.5050 hourly","$7.8781 hourly","$4.6147 hourly"
"R7I 48xlarge","r7i.48xlarge","1536.0 GiB","192 vCPUs","Intel Xeon Scalable (Sapphire Rapids)","3.2 GHz","EBS only","64-bit","50 Gigabit","$12.7008 hourly","$8.4016 hourly","$3.1467 hourly"
"R7I Metal-48xl","r7i.metal-48xl","1536.0 GiB","192 vCPUs","Intel Xeon Scalable (Sapphire Rapids)","3.2 GHz","EBS only","64-bit","50 Gigabit","$12.7008 hourly","$8.4016 hourly","$2.3635 hourly"
"INF2 48xlarge","inf2.48xlarge","768.0 GiB","192 vCPUs","AMD EPYC 7R13 Processor","2.95 GHz","EBS only","64-bit","100 Gigabit","$12.9813 hourly","$8.1782 hourly","$2.7844 hourly"
"DL1 24xlarge","dl1.24xlarge","768.0 GiB","96 vCPUs","Intel Xeon Platinum 8275L","3 GHz","4000 GB                 (4 * 1000 GB NVMe SSD)","64-bit","4x 100 Gigabit","$13.1090 hourly","$8.2587 hourly","$2.8087 hourly"
"F1 16xlarge","f1.16xlarge","976.0 GiB","64 vCPUs","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","3760 GB                 (4 * 940 GB NVMe SSD)","64-bit","25 Gigabit","$13.2000 hourly","$8.9250 hourly","$2.6955 hourly"
"X2IDN Metal","x2idn.metal","2048.0 GiB","128 vCPUs","Intel Xeon Scalable (Icelake)","3.5 GHz","3800 GB                 (2 * 1900 GB NVMe SSD)","64-bit","100 Gigabit","$13.3380 hourly","$8.2069 hourly","$3.1610 hourly"
"X2IEDN 16xlarge","x2iedn.16xlarge","2048.0 GiB","64 vCPUs","Intel Xeon Scalable (Icelake)","3.5 GHz","1900 GB                 NVMe SSD","64-bit","50 Gigabit","$13.3380 hourly","$8.2069 hourly","$3.0116 hourly"
"X1 Extra High-Memory 32xlarge","x1.32xlarge","1952.0 GiB","128 vCPUs","High Frequency Intel Xeon E7-8880 v3 (Haswell)","2.3 GHz","3840 GB                 (2 * 1920 GB SSD)","64-bit","25 Gigabit","$13.3380 hourly","$8.2190 hourly","$2.8396 hourly"
"X2IDN 32xlarge","x2idn.32xlarge","2048.0 GiB","128 vCPUs","Intel Xeon Scalable (Icelake)","3.5 GHz","3800 GB                 (2 * 1900 GB NVMe SSD)","64-bit","100 Gigabit","$13.3380 hourly","$8.2069 hourly","$3.2463 hourly"
"X1E 16xlarge","x1e.16xlarge","1952.0 GiB","64 vCPUs","High Frequency Intel Xeon E7-8880 v3 (Haswell)","2.3 GHz","1920 GB                 SSD","64-bit","10 Gigabit","$13.3440 hourly","$8.2230 hourly","$2.7680 hourly"
"G6 Graphics and Machine Learning GPU 48xlarge","g6.48xlarge","768.0 GiB","192 vCPUs","AMD EPYC 7R13 Processor","2.6 GHz","7520 GB                 (8 * 940 GB NVMe SSD)","64-bit","100 Gigabit","$13.3504 hourly","$8.6911 hourly","$2.5876 hourly"
"P2 General Purpose GPU 16xlarge","p2.16xlarge","732.0 GiB","64 vCPUs","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","EBS only","64-bit","25 Gigabit","$14.4000 hourly","$9.8280 hourly","$11.4977 hourly"
"R7A 48xlarge","r7a.48xlarge","1536.0 GiB","192 vCPUs","AMD EPYC 9R14 Processor","3.7 GHz","EBS only","64-bit","50 Gigabit","$14.6064 hourly","$9.6621 hourly","$3.6705 hourly"
"R7A Metal-48xl","r7a.metal-48xl","1536.0 GiB","192 vCPUs","AMD EPYC 9R14 Processor","3.7 GHz","EBS only","64-bit","50 Gigabit","$14.6064 hourly","$9.6621 hourly","$3.3138 hourly"
"G5 Graphics and Machine Learning GPU 48xlarge","g5.48xlarge","768.0 GiB","192 vCPUs","AMD EPYC 7R32","2.8 GHz","7600 GB                 (2 * 3800 GB NVMe SSD)","64-bit","100 Gigabit","$16.2880 hourly","$10.2614 hourly","$3.5016 hourly"
